URL: /
Timestamp: Sat Jul 29 2023 15:42:00 GMT-0400 (Eastern Daylight Time)
::1 - - [25/Aug/2023:01:01:32 +0000] "GET /movies/genre/Action HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [25/Aug/2023:01:02:58 +0000] "GET /movies/genre/Action HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [25/Aug/2023:01:03:33 +0000] "GET /movies/genre/Action HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:02:10 +0000] "GET /movies/genre/Action HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:03:11 +0000] "GET /movies/genre/Action HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:03:47 +0000] "GET /movies/genre/Action HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:04:39 +0000] "GET /movies/genre/Action HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:27:57 +0000] "GET /movies/genre/Action HTTP/1.1" 200 43602 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:28:32 +0000] "GET /movies/genre/drama HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:28:53 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:36:52 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:37:01 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:38:40 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 2 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:39:10 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:50:34 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:51:26 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:52:31 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:53:22 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:54:22 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:54:47 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:55:12 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:56:10 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:58:01 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:03:58:54 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:02:03 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:02:37 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:05:07 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:05:47 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:08:51 +0000] "GET /movies/genre/drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:10:53 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:12:19 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:14:20 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:15:52 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:16:58 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:18:37 +0000] "GET /movies/genre/drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:19:39 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:19:56 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:20:18 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:21:46 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:23:48 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:24:19 +0000] "GET /movies/genre/Drama HTTP/1.1" 400 13 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:25:33 +0000] "GET /movies/genre/Drama HTTP/1.1" 200 42029 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Aug/2023:04:28:30 +0000] "GET /movies/genre/Drama HTTP/1.1" 500 19 "-" "PostmanRuntime/7.32.3"
